,Text,Account Tags,Hashtags,Sentiment,Emotions
56637," In honor of Earth Day, Pulitzer Prize-Winning Journalist  and Salesforce's  are talking about our planet's future and how we can save it. 🌎

Listen in on the conversation and take action with us:  #BlazingTrails ","salesforce,ElizKolbert,Flynnovate",BlazingTrails,POSITIVE,optimism
56638,"“It is an immense honour for  to lead the nation in the climate action campaign.""

The First Lady of Kenya, Margaret Kenyatta 🇰🇪, applauds Kenyan athletes for using their visibility to promote awareness on climate change 👇

EarthDay",athletics_kenya,EarthDay,POSITIVE,joy
56641,"""Visit during the off season. Many popular destinations have become burdened by their own popularity, with visitors causing traffic jams, leaving trash behind or otherwise damaging local environments."" — Alexander Howard, Managing Editor, Destinations 🌱 EarthDay",Uknown,EarthDay,NEGATIVE,sadness
56644,"EarthDay 🌍 this is a great opportunity to talk to you about the initiative #PlanetWatchbyEnlaps. 
🔟 projects for monitoring #glaciers selected to make the evolution of #ClimateChange visible.


#Tikee #GlobalWarming #Timelapse #FrenchTech ",Uknown,"EarthDay,PlanetWatchbyEnlaps,glaciers,ClimateChange,Tikee,GlobalWarming,Timelapse,FrenchTech",POSITIVE,optimism
56646,"""Limit the number of ""travel sized"" items with refillable containers. Reuse/refill previous containers or look around your house and repurpose small containers and fill them off your bigger bottles."" — , Senior News Editor 🌱 EarthDay",melissayeagr,EarthDay,NEGATIVE,optimism
56652,"Be-leaf it or not, today is a great day to do your part! Spend time giving back to your planet on this beautiful Earth Day. You can do this by recycling, taking public transportation, walking or biking, and by conserving energy when you can. 

Happy EarthDay! 🌎 ",Uknown,EarthDay,POSITIVE,optimism
56653,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
56654,"""I grew up backpacking and bring the ""leave no trace"" mindset on each trip. I usually have a spare bag to collect found trash, especially if we have a beach day in mind."" — Erin Lenczycki, Photo Editor 🌱 EarthDay",Uknown,EarthDay,POSITIVE,optimism
56658,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Pam Warner
Your REALTOR®
Century 21 Maximum
403-302-3596  ",Uknown,earthday,POSITIVE,joy
56662,"""I try to plan longer, more worthwhile trips when I have to fly and use my time wisely, staying longer and seeing more than one place."" — Fionnuala McCarthy, Editorial Director 🌱 EarthDay",Uknown,EarthDay,NEGATIVE,optimism
56671,"The #earthday2022 theme is #InvestInOurPlanet. Here's a reminder of some quick tips you can take (if you haven't already!) Together, for everyone, everything, every day…
 #followfriday #saveourplanet #savetheplanet #loveearth #earthday🌎 #happyearthday ",Uknown,"earthday2022,InvestInOurPlanet,followfriday,saveourplanet,savetheplanet,loveearth,earthday,happyearthday",POSITIVE,joy
56676,"Want more EarthDay travel tips? Tune in, travelers 👇 ",Uknown,EarthDay,NEGATIVE,joy
56679," In 2021, we decided to achieve net zero greenhouse gas emissions by 2040. We will reduce our water consumption by ten percent by 2030. The fewer resources consumed, the better. That's what #earthday reminds us of. 🌎🌱

#sustainability #eco #innovation #BetterBiz ",GieseckeNews,"earthday,sustainability,eco,innovation,BetterBiz",NEGATIVE,optimism
56682,"We're signing off for the day 👋

We hope you've enjoyed our EarthDay takeover. Why not visit your nearest showroom to design a #sustainable sofa of your own?  #LuxuryFurniture ",Uknown,"EarthDay,sustainable,LuxuryFurniture",NEGATIVE,joy
56683,"The meat industry is a leading cause of climate change.
You can help the planet AND your health by eating LESS/ ZERO MEAT.

Learn more at these links:





EarthDay 
🌍🌱🌿🥑🥦🥬🍆🥒🥕🥔 ",Uknown,EarthDay,NEGATIVE,optimism
56697,Is your business doing something special for #Earthday? Let us know.👇🌎,Uknown,Earthday,POSITIVE,joy
56700,"🌍🌎🌏 Today we celebrate the 52nd anniversary EarthDay, which is focused on accelerating solutions to combat #ClimateChange and to activate everyone – governments, citizens, and businesses – to do their part!

Learn more ▶️  ",Uknown,"EarthDay,ClimateChange",POSITIVE,optimism
56701,"Happy Earth Day! 🌎

The Crew is committed to making a positive impact on our community and environment with .

We partnered with ,  and  for a park and garden cleanup at the Blackburn Community Center.

#Crew96 | #GreenerGoals ","MLSWORKS,RumpkeNews,LocalMattersOrg,ColsRecParks","Crew96,GreenerGoals",POSITIVE,joy
56711,"# Mobile HQ FACT: Up to 30% of the power generated is from renewable solar energy. 
☀️🔋♻️. Callaway Sustainability Report &gt;&gt; 
EarthDay ",CallawayGolf,"RT,EarthDay",NEGATIVE,optimism
56713,"We need all of our residents to help reduce the amount of litter in #MiltonON. 

Remind friends &amp; family to:

🚯 Dispose of garbage properly
🗑️ Secure waste on pick-up days
♻️ Reduce, reuse, recycle

For info on cleanup events we're hosting, please visit:  ",Uknown,MiltonON,NEGATIVE,optimism
56716,"Happy EarthDay! 🏡🌎 #DidYouKnow: Each time you donate at , you give items a second life and keep them out of the landfills. 

Your donation then helps fund our mission to complete neighborhood restoration projects, keeping older homes livable for longer. 💚 ",ReStoresOC,"EarthDay,DidYouKnow",POSITIVE,optimism
56718,"            Let's pledge to save planet Earth today
EarthDay and also remember
If Children are happy,
Automatically  Positivity will be generated!
Give students peace of mind please 🌱

#PradhanJiHelpDUStudentsWithOBE 
Make Children Happy 💐 ","HarshitaGirdhar,ThePradeepRawat,ndtv,DrManjeet05,IamRituKataria,ChangeOrg_India,sumedhasharma86,thepurnimarawat,ParentsGurgaon,WeAllAreUnited,YouthRFuture,NcrParents","EarthDay,PradhanJiHelpDUStudentsWithOBE",POSITIVE,optimism
56721,"Get outside and feel the Earth underneath your toes today. 

Happy Earth Day 2022. 🌍 

#earthday #INFINITI #getouside #INFINITIRoseville #rosveille ",Uknown,"earthday,INFINITI,getouside,INFINITIRoseville,rosveille",POSITIVE,joy
56730,"Happy EarthDay🌎! How are you celebrating? Picking up litter might feel like a small thing, but if all of us do it, it’s a big thing. ",Uknown,EarthDay,POSITIVE,optimism
56735," Today is EarthDay! #OregonFieldGuide features the natural wonder of the Pacific Northwest year-round, and shares stories about humans working to preserve it. Here are some past stories that highlight our corner of the planet we call home. 🌎",OPB,"EarthDay,OregonFieldGuide",POSITIVE,joy
56739,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Any questions?  Get in touch!
226-567-1978
Garrett.Verbakel.ca  ",c21,earthday,POSITIVE,joy
56740,🌍🌱 Celebrate Earth Day at Asian Box with our Garden Box. Made with locally sourced  Organic Tofu and  Brown Rice #locallysourced #organice #plantbased #vegan #glutenfree ,"hodofoods,rueandforsmanranch","locallysourced,organice,plantbased,vegan,glutenfree",POSITIVE,joy
56745,Polar bears are a symbol for the devastating effects of #climatechange. #QueensuResearch monitors bear activity and health to gain insights into the state of Arctic ecosystems. Learn more: ➡️  EarthDay 🌎 #savetheplanet ,Uknown,"climatechange,QueensuResearch,EarthDay,savetheplanet",NEGATIVE,optimism
56747,"Happy Earth Day from your Live Rite family🌎🌱
As we celebrate the Earth today, Live Rite is sharing tips on how you can be more sustainable and protect our planet💚
Leave a comment on your sustainability tips below!
#earthday #savetheearth #planetearth #saveourplanet #recovery ",Uknown,"earthday,savetheearth,planetearth,saveourplanet,recovery",NEGATIVE,optimism
56750,"🌍On this 52nd EarthDay, our scientists Katia Nicolet and Beatrice Cordiano address the delicate equation of the effects caused by #agriculture👇
",Uknown,"EarthDay,agriculture",POSITIVE,joy
56752,"Happy EarthDay, Chicago! We certainly have a lot to be grateful for in this beautiful city 😍

Stream SHE 100.3 live: 

📸:  ",barrybutler9,EarthDay,POSITIVE,joy
56756,"Happy Earth Day! 🌼

Consider fueling your day with a plant-based smoothie from Juice by the Sea MV and spend some time outside!🌿

#MarthasVineyard #OakBluffs  ",Uknown,"MarthasVineyard,OakBluffs",NEGATIVE,joy
56765,"M7 should consider the fact that Coffee unlike Gold(extracted) is the largest exporter earner. Mother 🌎 is providing why should we go against her. Citizens should say no against Oil Extraction.
A ltr of Oil is expensive at 6000 and a ltr of juice at 10000.
#StopEACOP 
EarthDay ",Uknown,"StopEACOP,EarthDay",NEGATIVE,anger
56773,"Happy EarthDay from paradise on Earth! 🌍 We're so proud to call this beautiful country home!

#cyathens #studyingreece ",Uknown,"EarthDay,cyathens,studyingreece",POSITIVE,joy
56774,"Sparkie wanted to wish everyone a happy EarthDay! He also wanted to remind you to pick up any litter you see today, plant some flowers and always be kind to nature!🤗 🌲 🌼 ",Uknown,EarthDay,POSITIVE,joy
56778,"Did you know this? 🌳
#earthday #earthday2022 #TGIF #fridayvibes #fitnessfriday #funfriday #fitfriday #justforfunfriday #inspiration #workout #goals #fitnessmotivation #training #healthy #virtualrace #yesfit #yesfitrewards #funfit #yesfitchallenges #positivevibes #virtual ",Uknown,"earthday,earthday2022,TGIF,fridayvibes,fitnessfriday,funfriday,fitfriday,justforfunfriday,inspiration,workout,goals,fitnessmotivation,training,healthy,virtualrace,yesfit,yesfitrewards,funfit,yesfitchallenges,positivevibes,virtual",NEGATIVE,joy
56784,"🌍 It’s EarthDay! 🌎

Today is about demonstrating support for environmental protection. It involves a range of global events organised by  includes 1 billion people across 193 countries!

♻️ For our environmental stories: 

 ","EarthDaynand,trafficscotland",EarthDay,POSITIVE,optimism
56786,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Dalj Brar Real Estate
daljbrar.com
(778) 882 - 5820
  ",gmail,earthday,POSITIVE,joy
56798,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
56802," Earth day!!🌎Since K Ss are learning about Sharing the Planet &amp; today is Earth Day, they wrote their Earth Day promise. Ss had amazing ideas, like not littering, planting trees, &amp; picking up trash. We are caring students!  
EarthDay #hssd #parkib #ibpyp #pyp #IB ","Park_IB_School,iborganization","EarthDay,hssd,parkib,ibpyp,pyp,IB",POSITIVE,joy
56815, Happy Earth Day 2022! 💚✊ EarthDay22 #SaveSwanscombe from #TheLondonResort  ,"Laura_Edie8,sspcampaign","EarthDay22,SaveSwanscombe,TheLondonResort",POSITIVE,joy
56819,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Laurie Brugger  ",Uknown,earthday,POSITIVE,joy
56840,It's Earth Day and we can all do our part!  Volunteer for a service project this week by visiting    is offering a ton of opportunities to make a difference!  🌎🎉 #InvestInOurPlanet #GoCougs ,WSUCCE,"InvestInOurPlanet,GoCougs",POSITIVE,optimism
56845,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

The Power 
To Moooove You!  ",Uknown,earthday,POSITIVE,joy
56847,"Happy Earth Day! 🌍😏

#earthday #earthday2022 #happyearthday #seattlerealestate #seattlehomes #westseattle #westseattlerealestate #westseattlehomes #seattlerealtor #seattlerealtors #westseattlerealtor #westseattlerealtors #kwasihomes #johnlscott #johnlscottrealestate ",Uknown,"earthday,earthday2022,happyearthday,seattlerealestate,seattlehomes,westseattle,westseattlerealestate,westseattlehomes,seattlerealtor,seattlerealtors,westseattlerealtor,westseattlerealtors,kwasihomes,johnlscott,johnlscottrealestate",POSITIVE,joy
56849,"Happy EarthDay! One way you can go green is by going paperless! It’s easy to do in Mobile Banking. Tap the person icon in the top right, choose Settings &amp; Profile &amp; select Preferences. Flip on the switches for accounts you’d like to receive electronic statements &amp; hit Update 🌎 ",Uknown,EarthDay,NEGATIVE,joy
56854,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Madeleine Rodriguez 
Century 21 Millennium Inc.
Sales Representative
mobile: 416-706-0347
madeleine.rodriguez.ca 
  ",century21,earthday,POSITIVE,joy
56862,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
56870,"Make every day EarthDay! 🌎

Today, and every day, let's step up and nurture nature.

🌱 This planet takes care of us, so let’s return the favor. Here are 10 reasons from  to celebrate on Earth Day!  ",Inc,EarthDay,POSITIVE,optimism
56873,"In our hands 🤲

EarthDay EarthDay22 #ClimateActionNow #poverty #war #biodiversity #humanity ",Uknown,"EarthDay,EarthDay22,ClimateActionNow,poverty,war,biodiversity,humanity",NEGATIVE,sadness
56874,"🎉🌎 Celebrating Earth Day! To show our support, Molocans across the world are walking to parks, make flower bouquets, decorate flower pots, and taking photos of eco-friendly activities. Together we make a difference.

EarthDay #environment #ecofriendly ",Uknown,"EarthDay,environment,ecofriendly",POSITIVE,joy
56878,"Hoping you have an electric Earth Day! 🌎 

We only have one Earth and it's our job to make sure it stays clean and healthy.

EarthDay2022 #ThompsonTruckCenters ",Uknown,"EarthDay2022,ThompsonTruckCenters",NEGATIVE,optimism
56887,Happy Earth Day from #SuiteDynamics and the ERP Cloud ☁️ 🌎 ,Uknown,SuiteDynamics,POSITIVE,joy
56897,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Sunny Aulakh 
778-233-7866
Century 21 AAA Realty 
Sunny.aulakh.ca  ",century21,earthday,POSITIVE,joy
56899,Nature’s beauty is always better with Sprinkles.. Happy EarthDay 🌎 ,Uknown,EarthDay,POSITIVE,joy
56900," Ghar se nikalte hi..
EarthDay event venue pr pahuchte hi💚
This was #MyConnectWithSoil 
Come forward and talk about #SaveSoil 
Action now:  
It's the need of the hour 🙏

  ","drakritimishra,SadhguruJV,cpsavesoil","EarthDay,MyConnectWithSoil,SaveSoil",NEGATIVE,optimism
56912,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Shawn Bhatt
Century 21 Coastal Realty.
604-690-8586  ",Uknown,earthday,POSITIVE,joy
56919,Happy Earth Day from your friends at Cortec®!  #VCI #VpCI #corrosionprotection #corrosionprevention  #sustainable ,Uknown,"VCI,VpCI,corrosionprotection,corrosionprevention,sustainable",POSITIVE,optimism
56924,"Try a different kind of pizza for EarthDay and make a #Plizza, the planet-friendlier pizza! It's made with great grains, vitamin-packed veggies and the rich flavor of Knorr Vegetable Mix!

Click the link below for the Plizza recipe. 🍕

 ",Uknown,"EarthDay,Plizza",POSITIVE,joy
56925,"In honor of Earth Day, Pulitzer Prize-Winning Journalist  and Salesforce's  are talking about our planet's future and how we can save it. 🌎

Listen in on the conversation and take action with us:  #BlazingTrails ","ElizKolbert,Flynnovate",BlazingTrails,POSITIVE,optimism
56936,"A few of the bits of garbage we plucked from the ocean yesterday. We get something everyday, unfortunately, and dispose of it when we pull alongside in our next port. Everyday is #earthday, because we only have one planet. 🌎 ⚓ ",Uknown,earthday,NEGATIVE,sadness
56945,"Investing in #IPLC-led solutions means investing in our planet 🌎🌍🌏
 
This EarthDay, join us on a journey around the globe to meet the lead organizations and see how they plan to transform #conservation through #ICI_GEF:  ",Uknown,"IPLC,EarthDay,conservation,ICI",POSITIVE,optimism
56949,"We have different roles to play on this planet, either as individuals or as an organization, we area all accountable in building our future.
#Investinourplanet 🌎👉 

Make a difference in celebration of Earth Day 2022!
 
#earthday #climatecrisis ",EarthDay,"Investinourplanet,earthday,climatecrisis",POSITIVE,optimism
56952,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

ANN NGUYEN | Sale Representative
ann.nguyen.ca  ",c21,earthday,POSITIVE,joy
56957,"🌎 This EarthDay, help reduce the amount of paper wasted and your chances of mail fraud by switching to eStatements. 

Learn more:  ",Uknown,EarthDay,NEGATIVE,optimism
56979,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Robert Wodz
Real Estate Investor, Agent &amp; Influencer
The source of investments, real estate news &amp; trends.
Serving the GTA &amp; surrounding area...  ",Uknown,earthday,POSITIVE,joy
56982," It's #RhinoFriday and EarthDay today 🙌 We're working to preserve our planet by conserving rhinos &amp; their habitats. And you're helping us do that every time you drink #HORNiCoffee ☕️

#Conservation #CharityCoffee ",HORNi_Rhino,"RhinoFriday,EarthDay,HORNiCoffee,Conservation,CharityCoffee",POSITIVE,joy
56996,"✅  Net-zero emissions
♻️  Circular economy
🌱  Sustainable living
NEOM is aiming to be carbon-neutral by 2030.

#NEOM #MadeToChange EarthDay ",Uknown,"NEOM,MadeToChange,EarthDay",NEGATIVE,optimism
56999, On this EarthDay we are proud to partner with  to help save paper and preserve the planet! 🌎 #TUSD ,"TurlockUSD,PeachjarInc","EarthDay,TUSD",POSITIVE,optimism
57002,"🌎 Happy EarthDay! 🌎

We believe fighting #climatechange is to believe that all of us, both as businesses and individuals, can still change the world for the better. Read more about our #Sustainability Committee:  ",Uknown,"EarthDay,climatechange,Sustainability",POSITIVE,optimism
57008,"This EarthDay support local to support the planet. 🌎 

When you support local it has a ripple effect across the community: touching producers, processors, harvesters, farmers, chefs and restaurant team members. This is sustainable &amp; helps our local communities thrive.🌱 ",Uknown,EarthDay,POSITIVE,optimism
57013,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

It's YOUR Move...
Call Me 647-998-2120  ",Uknown,earthday,POSITIVE,joy
57017,"Happy Earth Day! 🌍

♻️  One of our #VLabsCompanies  is empowering a zero waste world with their Oscar Sort platform!  

Look out for Oscar in action and help change the world one trash item at a time 🚮
EarthDay2022 ",Intuitive_AI,"VLabsCompanies,EarthDay2022",POSITIVE,optimism
57019,"We’re blessed to be surrounded by the beauty of nature here in Cornwall. From our use of #sustainableenergy, to the support we give to local charities we are always seeking to protect our environment and preserve it for future generations. 🤍

EarthDay",Uknown,"sustainableenergy,EarthDay",POSITIVE,optimism
57021,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
57022,A look at class 6 rapids in a Gorge in honor of #earthday 💙💚🤎 #Niagara #beautifuldestinations #stormhour  #ShareYourWeather #TwitterNatureCommunity #nature ,ThePhotoHour,"earthday,Niagara,beautifuldestinations,stormhour,ShareYourWeather,TwitterNatureCommunity,nature",POSITIVE,joy
57025, Did you know as well as making #peatfree compost we also restore damaged peatlands across the UK helping to reduce carbon release &amp; returning them to healthy eco-systems?  EarthDay22 EarthDay 👇 ,DalefootCompost,"peatfree,EarthDay22,EarthDay",NEGATIVE,optimism
57047,"🌳 It's EarthDay! A day to celebrate &amp; boost environmental awareness!

🌎 Wearing clothing that is made from eco-friendly materials &amp; reducing plastic bottle usage, you can #ShowcaseGreatness to the Earth! Our new eco-friendly apparel will help you #GoGreen while you look great! ",Uknown,"EarthDay,ShowcaseGreatness,GoGreen",POSITIVE,joy
57048,"Healthy living is only possible on a healthy planet. 

Happy Earth Day from all of us at Beko 🌏 



EarthDay #HappyEarthDay #BekoHealthyKitchen #everydayisEarthDay ",Uknown,"EarthDay,HappyEarthDay,BekoHealthyKitchen,everydayisEarthDay",POSITIVE,joy
57054,"Taking care of Mother Earth is very important not just because of the space we occupy in it, but also because taking care of it will help us and future generations keep ourselves healthy and safe. What do you usually do to help preserve our planet?🌍🌳

#earthday #earth #nature ",Uknown,"earthday,earth,nature",POSITIVE,optimism
57055," 🌍 On this EarthDay, it's good to see the Government announce plans on how the UK will lead the way in climate and sustainability education as we work to deliver a greener world for future generations.

",edwardtimpson,EarthDay,POSITIVE,optimism
57080,"Earth is our home. Let's keep it green. Happy Earth Day! 🌍💚

EarthDay2022 #cleanandgreen #dailymotivations #FreshMintDelivery #FollowMe #topshelffire #topshelfonly ",Uknown,"EarthDay2022,cleanandgreen,dailymotivations,FreshMintDelivery,FollowMe,topshelffire,topshelfonly",POSITIVE,optimism
57082,"🔥 (45% Off) 10% Coupon + 35% Off 🎉 Code 7X62CGD9 

Now $16.49, Laminator, ZUUKOO A4 Laminator Machine


#ad #Laminator #A4 #amazon #usa #deals #amazondeals #amazonfinds #amazonprime EarthDay Earth Day #InvestInOurPlanet #FridayFeeling",Uknown,"ad,Laminator,A4,amazon,usa,deals,amazondeals,amazonfinds,amazonprime,EarthDay,InvestInOurPlanet,FridayFeeling",NEGATIVE,joy
57089," 🌳 🌍Happy Earth Day! 🌎 🌳

In celebration of Earth Day, I joined my staff &amp; volunteers to help clean up a local park in Cherry Hill. Thank you to all who came out for our EarthDay cleanup! ",pamlampitt1,EarthDay,POSITIVE,joy
57096,"🌿 mBot2 'In the wild' lesson plan, teach students the basic principles of Artificial Intelligence (AI) using machine learning.

Students will recreate a natural ecosystem where mBot2 behaves like an animal, using machine learning and AI to imitate animal behaviours.
#earthday ",Uknown,earthday,POSITIVE,joy
57100,"Happy EarthDay! We're proud to celebrate with our partner, , with over 1 million trees planted to date.

Like this post if you've planted a tree with us – and bonus points if you've given your own tree a name! 🌿🌱 ",AmericanForests,EarthDay,POSITIVE,joy
57103," Happy EarthDay from everyone here at EnviroPerks! We encourage you to celebrate today by doing something green. Plant a tree, start a vegetable garden, recycle an old item instead of throwing it away, anything that will benefit Mother Earth! 🌎 ",enviroperks,EarthDay,POSITIVE,joy
57108,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Tim Leontowicz
CENTURY 21 Fusion
306-281-8888  ",Uknown,earthday,POSITIVE,joy
57112,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
57123,"#DYK time spent in nature can help with taking away stress? 🐞🌳☀️ 

Find more #StressBusters to help you &amp; your family day-to-day:  🧡 #ResilientLV #Resilience4AllLV EarthDay ",Uknown,"DYK,StressBusters,ResilientLV,Resilience4AllLV,EarthDay",NEGATIVE,optimism
57126,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Sherin Nassar

Century 21 Miller Real estate Brokerage 

cell :   905-334-7408
0ffice: 905-845-9180  ",Uknown,earthday,POSITIVE,joy
57132,"Happy Earth Day! 🍀 Help us keep the world extra green today and don't forget to reduce, reuse, and recycle!

EarthDay ",Uknown,EarthDay,POSITIVE,joy
57156, You best be-leaf that the #BigCityGreens are celebrating EarthDay 🌱 What are you doing today to say thank you to our amazing planet? #WatchOnDisneyChannel ,DisneyTVA,"BigCityGreens,EarthDay,WatchOnDisneyChannel",NEGATIVE,joy
57157,"EarthDay 🌏
PLANT A TREE 🌲🌳🌴 by  ⭐ #Spotify #FerrisFriday 
""plant a tree for every time you breathe today""

",DaveitFerris,"EarthDay,Spotify,FerrisFriday",POSITIVE,joy
57158," 🌎 EarthDay strives to highlight how everyone can be part of making a change. The official theme for Earth Day 2022 is #InvestInOurPlanet. See the comments for 12 actions and tips to make a difference, every day of the year. ",SanMarCanada,"EarthDay,InvestInOurPlanet",POSITIVE,optimism
57167,"🌍 Today is Earth Day! A day to remember to #investinourplanet 

It takes all of us. Businesses, governments and citizens of all over the world!  We need to act boadly now for a better tomorrow!  

Learn more on ➡️ 

 #earthday ",EarthDay,"investinourplanet,earthday",POSITIVE,optimism
57173," 📢 On EarthDay let’s uplift Line 3 water protectors are facing felony charges. 📢 

Line 3 violates treaties and threatens clean water, air, &amp; land during a 🚨climate emergency🚨 Visit  to sign the petition for their charges to be dropped.",FightFossils,EarthDay,NEGATIVE,anger
57180,"Happy EarthDay, HUBsters! 🌎🚴‍♀️

Come celebrate the occasion with us by registering for HUB Cycling’s Spring Go by Bike Week happening from May 30 - June 5, 2022! Registration opens today. 🎉

REGISTER NOW at 

#GobyBike #Bike2Work #GobyBikeBC ",Uknown,"EarthDay,GobyBike,Bike2Work,GobyBikeBC",POSITIVE,joy
57195," Celebrating EarthDay with an #NFTGiveaway 💐

If you want to win 1 of 3 #NFTs by the Mother Earth Photography Collection 👇

🌻 Follow 
🍀 Follow  
🌍 Like &amp; Retweet

No need to follow me &amp; DON’T turn on notis, I’ll annoy you 😆 48 hrs ~ good luck! ","MariePeyre6,AlienEnergy111,mido_draws","EarthDay,NFTGiveaway,NFTs",POSITIVE,joy
57196,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday  ",Uknown,earthday,POSITIVE,joy
57207,🌱 Better Sustainability One Step at a Time this Earth Day! Head to your local Shoe Carnival store and round up your purchase to benefit   🌎  #earthday2022 #earthdayeveryday #onetreeplanted,onetreeplanted,"earthday2022,earthdayeveryday,onetreeplanted",POSITIVE,optimism
57222,"Happy EarthDay from our beautiful Zavora! 

Thank you to everyone that has supported us and continues to support us, and to everyone fighting hard to conserve our beautiful planet 💚🌍💙
#NoPlanetB ",Uknown,"EarthDay,NoPlanetB",POSITIVE,joy
57231,"Happy EarthDay and watch out for companies greenwashing! 🌍

Remember the only meaningful change in the climate trajectory will be the result of us collectively holding accountable the mega corporations and their political puppets, including the military industrial complex! 😁",Uknown,EarthDay,NEGATIVE,optimism
57234,"Learn together on EarthDay: 
🌳 Introduce your kids to the joys of nature and playing outside
🌎 Teach your kids about the effects of climate change
♻️Empower your kids to take action and to care for the environment
Learn more: 
 ",Uknown,EarthDay,POSITIVE,optimism
57238," It's great to have your support  🙏🏼 am sure your support will inspire millions of your fans across the state to stand up for our Mother Soil!
EarthDay EarthDay2022 #SaveSoil 
#BiggBossUltimate #BiggBossTamil 
#ConsciousPlanet ","KeethuSundaram,OfficialBalaji","EarthDay,EarthDay2022,SaveSoil,BiggBossUltimate,BiggBossTamil,ConsciousPlanet",POSITIVE,optimism
57242,🌎Take a look at some Earth Day art with the Lorax.🌎 #qcleads #Schnepfelementaryschool ,Uknown,"qcleads,Schnepfelementaryschool",POSITIVE,joy
57251," Happy Earth Day! This year's theme is #InvestInOurPlanet 🌎

Remember that Earth Day isn't just one day. Individuals, businesses, and governments must work together to reduce waste, invest in green infrastructure, and take action every single day.

#earthday #climateemergency ",RTSGreen,"InvestInOurPlanet,earthday,climateemergency",POSITIVE,optimism
57256,‼️STARTING NOW‼️ #DefendOurOceans - come join us in the celebration and learning moment on EarthDay! Sign up and get the link here: ,Uknown,"DefendOurOceans,EarthDay",NEGATIVE,joy
57257,"Happy EarthDay🌎 

Did you know that Oboz plants a tree for every pair of shoes sold?
Oboz has planted over 4 million trees since their first pair sold in 2007!
Celebrate Earth Day, every day, with Oboz and All Seasons Clothing Company! 
Stop in today, and pick up a pair! ",Uknown,EarthDay,POSITIVE,joy
57258,"🎤Heal the world..
Make it a better place..
For you and for me and the entire universe...🎤...EarthDay",Uknown,EarthDay,POSITIVE,optimism
57259, Happy EarthDay from the most corrupt governor in Ohio history!! 🤓🌎 ,HEADPAC2022,EarthDay,POSITIVE,joy
57260, 🌍Happy EarthDay🌍 Let's teach little humans (and ourselves) to love themselves--&gt;love each other--&gt;love animals and nature--&gt;protect our planet. That's how it goes! ,FSPacquisitions,EarthDay,POSITIVE,optimism
57264," 📢Dear Survivors,
Happy EarthDay🌍!Share us screenshots of your favourite landscapes of #Chernarus or the wilderness of #Livonia. ",DayZ,"EarthDay,Chernarus,Livonia",POSITIVE,joy
57267,"Happy Earth Day! Hope you can get outside today and share some gratitude for the beautiful planet we all live on. 💚🌏

#earthday #earthday2022 #weloveyouearth #everydayisearthday ",Uknown,"earthday,earthday2022,weloveyouearth,everydayisearthday",POSITIVE,joy
57268,#TGIF Take time to appreciate the beauty of nature on EarthDay! What steps are you taking to help our Mother Earth? 🌍 #FridayThoughts #FridayVibes #WeekendMotivation #FridayMood EarthDay2022 #NashvilleTN #NashvilleSkincare #SaveThePlanet ,Uknown,"TGIF,EarthDay,FridayThoughts,FridayVibes,WeekendMotivation,FridayMood,EarthDay2022,NashvilleTN,NashvilleSkincare,SaveThePlanet",POSITIVE,joy
57269,"Happy Earth Day! 🌲

#saveearth #mobilegame #gaming #android #ios ",Uknown,"saveearth,mobilegame,gaming,android,ios",POSITIVE,joy
57271,"“The Earth is what we all have in common.” —Wendell Berry
Happy Earth Day 🌎 #earthday

Joe Aubertin
Sales Representative 
Century 21 Today Realty Ltd. Brokerage
Cell: 905-788-7575
Email: joe.aubertin.ca  ",c21,earthday,POSITIVE,joy
